state,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Goa,Goa to Karad,https://www.redbus.in/bus-tickets/goa-to-karad,Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,07h 30m,06:00,4.6,1170,18
Goa,Goa to Karad,https://www.redbus.in/bus-tickets/goa-to-karad,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:30,07h 20m,04:50,4.5,1044,12
Himachal Pradesh,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:20,09h 50m,07:10,4.1,1596,21
Himachal Pradesh,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),09:40,09h 20m,19:00,4.0,1386,5
Himachal Pradesh,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:00,08h 40m,07:40,4.5,1568,20
Himachal Pradesh,Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 109,A/C Executive (2+3),09:12,09h 32m,18:44,3.7,632,26
Himachal Pradesh,Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 128,Ordinary 3+2 Non AC Seater,10:18,09h 42m,20:00,2.8,512,37
Himachal Pradesh,Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 102,Ordinary 3+2 Non AC Seater,11:18,09h 32m,20:50,3.8,512,37
Himachal Pradesh,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 401669,Ordinary 3+2 Non AC Seater,10:35,04h 05m,14:40,3.7,310,13
Himachal Pradesh,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 9236,A/C Executive (2+3),12:05,04h 05m,16:10,4.3,340,7
Himachal Pradesh,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 1515,Ordinary 3+2 Non AC Seater,13:20,06h 55m,20:15,3.2,373,37
Himachal Pradesh,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:15,04h 05m,01:20,4.5,570,24
Himachal Pradesh,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Northern Travels,Volvo A/C Semi Sleeper (2+2),21:45,03h 45m,01:30,3.2,646,23
Himachal Pradesh,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays,,22:00,05h 10m,03:10,5.0,760,N/A
Himachal Pradesh,Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Khurana Bus Service,Volvo A/C (2+2),08:55,05h 25m,14:20,4.0,599,5
Himachal Pradesh,Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,NueGo,Electric A/C Seater (2+2),09:00,05h 25m,14:25,4.4,412,20
Himachal Pradesh,Shimla to Manali,https://www.redbus.in/bus-tickets/shimla-to-manali,HRTC - 283,Ordinary 3+2 Non AC Seater,09:15,09h 40m,18:55,2.7,556,33
Himachal Pradesh,Shimla to Manali,https://www.redbus.in/bus-tickets/shimla-to-manali,HRTC - 500,Ordinary 3+2 Non AC Seater,10:35,08h 25m,19:00,2.9,556,34
Himachal Pradesh,Shimla to Manali,https://www.redbus.in/bus-tickets/shimla-to-manali,HRTC - 290,Ordinary 3+2 Non AC Seater,19:00,10h 30m,05:30,3.1,583,26
Himachal Pradesh,Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali,HRTC - 1506,Himsuta AC Seater Volvo/Scania 2+2,08:50,08h 10m,17:00,4.2,965,10
Himachal Pradesh,Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali,HRTC - 1545,Ordinary 3+2 Non AC Seater,08:55,08h 35m,17:30,2.4,564,25
Himachal Pradesh,Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali,HRTC - 508,A/C Executive (2+3),12:00,08h 10m,20:10,3.3,594,35
Himachal Pradesh,Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali,HRTC - 1519,Himsuta AC Seater Volvo/Scania 2+2,14:15,09h 15m,23:30,3.9,983,35
Himachal Pradesh,Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 791,Ordinary 3+2 Non AC Seater,08:40,11h 00m,19:40,3.9,564,28
